,Nose_Neck_MidHip,RShoulder_Neck_MidHip,LShoulder_Neck_MidHip,RElbow_RShoulder_Neck,LElbow_LShoulder_Neck,RWrist_RElbow_RShoulder,LWrist_LElbow_LShoulder,RHip_MidHip_Neck,LHip_MidHip_Neck,RKnee_RHip_MidHip,LKnee_LHip_MidHip,RAnkle_RKnee_RHip,LAnkle_LKnee_LHip
Michelangelo_1304_keypoints.npy_1304_2_m,-2.35197114944458,1.987005352973938,-1.2792869806289673,5e-324,-1.518906593322754,5e-324,2.6687405109405518,-0.9595445394515991,1.9903026819229126,5e-324,5e-324,5e-324,5e-324
Michelangelo_42216_keypoints.npy_42216_1_m,2.7182457447052,-1.622222900390625,1.4893370866775513,-2.5404958724975586,2.067277193069458,2.2345123291015625,0.6521086692810059,1.4916753768920898,-1.698500156402588,-1.8728680610656738,2.2633235454559326,-2.771674633026123,2.3024752140045166
Michelangelo_42216_keypoints.npy_42216_2_m,2.644418239593506,-1.4815629720687866,1.6092395782470703,-2.2218756675720215,1.3991150856018066,5e-324,5e-324,1.6069611310958862,-1.630554437637329,5e-324,5e-324,5e-324,5e-324
Michelangelo_74076_keypoints.npy_74076_1_m,2.4912569522857666,-1.6465058326721191,1.6223444938659668,-1.7652732133865356,0.17184408009052277,1.670871615409851,2.869053363800049,1.2427088022232056,-1.6755353212356567,-0.8938301205635071,2.170146942138672,2.131917953491211,1.9397656917572021
Michelangelo_74076_keypoints.npy_74076_2_m,-2.540769577026367,-1.6903913021087646,1.8425660133361816,5e-324,5e-324,5e-324,5e-324,1.6487289667129517,-1.4959237575531006,-1.5728789567947388,1.1830421686172485,-3.1409151554107666,-2.86688494682312
Michelangelo_26362_keypoints.npy_26362_1_m,5e-324,-1.6677042245864868,1.3996964693069458,-2.0118937492370605,5e-324,5e-324,5e-324,1.8449069261550903,-1.3256996870040894,-1.806768536567688,1.9140379428863525,-2.99061918258667,-1.805637240409851
El Greco_88024_keypoints.npy_88024_1_m,5e-324,1.5461347103118896,-1.6069706678390503,2.0621731281280518,-2.3542418479919434,2.631476402282715,-2.301783561706543,-1.5931007862091064,1.6077357530593872,0.7648800611495972,-2.0581588745117188,-1.9511955976486206,-2.054159164428711
El Greco_88024_keypoints.npy_88024_2_m,-2.8805668354034424,-1.5572396516799927,1.5906224250793457,-2.01859450340271,1.968788504600525,2.9010698795318604,5e-324,1.527793049812317,-1.5451786518096924,5e-324,5e-324,5e-324,5e-324
El Greco_88024_keypoints.npy_88024_3_m,5e-324,1.1707020998001099,-1.832603931427002,3.132094144821167,5e-324,-1.6803927421569824,5e-324,-1.6499067544937134,1.4318383932113647,2.8030238151550293,-0.5018894076347351,2.044394016265869,5e-324
El Greco_88024_keypoints.npy_88024_4_m,2.0136289596557617,-1.6970266103744507,1.446399450302124,-1.7243331670761108,1.7983721494674683,-1.6259580850601196,5e-324,1.6356080770492554,-1.5024093389511108,5e-324,5e-324,5e-324,5e-324
El Greco_88024_keypoints.npy_88024_5_m,-2.1320393085479736,-1.3177094459533691,1.8360339403152466,-1.935254454612732,1.315892219543457,1.6221399307250977,1.5535777807235718,1.5456364154815674,-1.5800034999847412,5e-324,5e-324,5e-324,5e-324
El Greco_88024_keypoints.npy_88024_6_m,-2.2766644954681396,-1.7856309413909912,1.3568053245544434,-2.120589017868042,1.259291410446167,5e-324,1.7018306255340576,1.1585217714309692,-1.89674973487854,5e-324,1.6170825958251953,5e-324,-2.9380693435668945
El Greco_88024_keypoints.npy_88024_7_m,-1.9513851404190063,-1.6309083700180054,1.5108412504196167,-1.6177866458892822,1.5723804235458374,-0.2442755103111267,2.0324220657348633,1.3875585794448853,-1.6299139261245728,5e-324,5e-324,5e-324,5e-324
